experiment,target,parameter,learner,learner_label,learner_model,quality_metric,method,method_label,confidence_level,coverage,avg_width,sd_ci_low,sd_ci_high,quality_value_mean,quality_value_sd,relative_width_rep_mean,relative_width_rep_sd,relative_width_rep_median,relative_width_rep_q25,relative_width_rep_q75,median_lambda,n_success,coverage_error,n_failed,classic_avg_width,relative_width
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.9,0.00896346619536601,0.002834615802797978,0.0028637015065874874,0.12401567489026019,0.0028795618289388773,0.8501340124953588,0.0031548233259336787,0.8500246860044157,0.8482175136932286,0.8508887033469397,,20,-0.04999999999999993,0,0.010543693263622677,0.8501258497618962
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,naive_ml,Naive ML,0.95,0.15,0.0021216268036710257,0.004936129473001194,0.005009158460646435,0.12401567489026019,0.0028795618289388773,0.201213253552656,0.010019315760565351,0.202586901612816,0.19539310325750425,0.20519493270821346,,20,-0.7999999999999999,0,0.010543693263622677,0.20122235640057515
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi,PPI,0.95,0.95,0.010191193428138129,0.00276835159701135,0.0027537697753657235,0.12401567489026019,0.0028795618289388773,0.9665808817651902,0.01199982899798654,0.9645785517419536,0.959008369041106,0.9702043179140472,,20,0.0,0,0.010543693263622677,0.9665677076645689
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.95,0.95,0.01009342202419385,0.002805831429307413,0.0028116955454856227,0.12401567489026019,0.0028795618289388773,0.957308881862369,0.007489650520235548,0.9571707721676488,0.9511024953662914,0.9609590816022997,0.829049469312025,20,0.0,0,0.010543693263622677,0.9572947326737652
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v2,PPI++V2,0.95,0.95,0.01009377137538801,0.0028043738426714146,0.002810146076310055,0.12401567489026019,0.0028795618289388773,0.9573419985696832,0.007490294801431087,0.957200701391929,0.9511320929839197,0.9609889849857087,0.825,20,0.0,0,0.010543693263622677,0.9573278663381678
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.95,0.008789631437956639,0.002662032677765742,0.002688461890725256,0.11753305647968734,0.0011695562191112348,0.8336462712019982,0.002557007595246543,0.8339325379297378,0.8315724661231152,0.8354371329641448,,20,0.0,0,0.010543693263622677,0.8336387656763674
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,naive_ml,Naive ML,0.95,0.25,0.0020133947282518854,0.00447179153888266,0.00451293228727061,0.11753305647968734,0.0011695562191112348,0.19094930975105823,0.005171358281929883,0.19115238022817121,0.18772036134943315,0.19461184757364508,,20,-0.7,0,0.010543693263622677,0.19095725548071463
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,ppi,PPI,0.95,0.95,0.009910897636558988,0.0028175173942530597,0.0028391973720848164,0.11753305647968734,0.0011695562191112348,0.9399905952774994,0.003964802303716495,0.939736044675592,0.9366134728926583,0.9421039130551889,,20,0.0,0,0.010543693263622677,0.939983494280232
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.95,0.95,0.009888201494142958,0.002826578369573671,0.0028504226065077286,0.11753305647968734,0.0011695562191112348,0.9378392784742109,0.0031585610346926227,0.9377096622894397,0.9360300717255257,0.9395169543576086,0.9116024014939774,20,0.0,0,0.010543693263622677,0.9378309143588932
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,ppi_plus_plus_v2,PPI++V2,0.95,0.95,0.00988855323375521,0.0028257230474118904,0.0028496138776807696,0.11753305647968734,0.0011695562191112348,0.9378726280919759,0.003156784363686774,0.9377446863248744,0.9360536614976039,0.9395408514849404,0.9125000000000001,20,0.0,0,0.010543693263622677,0.9378642745490521
a_mean,smooth_proportion,smooth_proportion,lin,LIN,Logistic Regression,Brier,cross_ppi,Cross-PPI,0.95,0.95,0.008884109694634032,0.002659623626574316,0.002678950655269249,0.1172901385351024,0.0010307458275400452,0.8426103754658885,0.0027675198962537114,0.8428185327319696,0.8407071363263514,0.8439027851066951,,20,0.0,0,0.010543693263622677,0.8425994072955008
a_mean,smooth_proportion,smooth_proportion,lin,LIN,Logistic Regression,Brier,naive_ml,Naive ML,0.95,0.1,0.0019999382359792346,0.004539033890409298,0.0045886892501824875,0.1172901385351024,0.0010307458275400452,0.1896751864166009,0.0059504934725900455,0.18927560014768524,0.18562900395001666,0.19419492698419194,,20,-0.85,0,0.010543693263622677,0.18968099564118784
a_mean,smooth_proportion,smooth_proportion,lin,LIN,Logistic Regression,Brier,ppi,PPI,0.95,0.95,0.009898439989541064,0.0026340655207393667,0.0026566238084927657,0.1172901385351024,0.0010307458275400452,0.9388113771274874,0.00353049867198584,0.9380839715380684,0.936318306756498,0.9418615258024445,,20,0.0,0,0.010543693263622677,0.9388019683474828
a_mean,smooth_proportion,smooth_proportion,lin,LIN,Logistic Regression,Brier,ppi_plus_plus_v1,PPI++V1,0.95,0.95,0.009879163917925763,0.0026550749745900943,0.002678759125178807,0.1172901385351024,0.0010307458275400452,0.9369839534234712,0.003145846776430077,0.93719470314585,0.934962148344864,0.9384926963514146,0.9170788666529837,20,0.0,0,0.010543693263622677,0.9369737596607025
a_mean,smooth_proportion,smooth_proportion,lin,LIN,Logistic Regression,Brier,ppi_plus_plus_v2,PPI++V2,0.95,0.95,0.00987948656773378,0.002652425224746381,0.002676115093381677,0.1172901385351024,0.0010307458275400452,0.9370145433539431,0.0031508369275952425,0.9372250840310887,0.934998064600842,0.9385169874317012,0.925,20,0.0,0,0.010543693263622677,0.9370043608741436
a_mean,smooth_proportion,smooth_proportion,reference,Reference,None,,classic,Classic,0.95,0.85,0.010543693263622677,0.0033643811227925427,0.003421682141694166,,,1.0,0.0,1.0,1.0,1.0,,20,-0.09999999999999998,0,0.010543693263622677,1.0
a_mean,smooth_proportion,smooth_proportion,rf,RF,Random Forest Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.95,0.008823590599312675,0.0026098188778003266,0.0026368448816963055,0.1181623288271458,0.001109812792195517,0.8368671730482319,0.002683348400736976,0.8369654523184444,0.8350065935554865,0.8379854444942095,,20,0.0,0,0.010543693263622677,0.8368595689098227
a_mean,smooth_proportion,smooth_proportion,rf,RF,Random Forest Classifier,Brier,naive_ml,Naive ML,0.95,0.15,0.001955716622346504,0.004725382484577895,0.0047623935005019925,0.1181623288271458,0.001109812792195517,0.18547735573386764,0.005047339617354831,0.18574781370160587,0.18141086795097844,0.18799925421153524,,20,-0.7999999999999999,0,0.010543693263622677,0.18548686626668281
a_mean,smooth_proportion,smooth_proportion,rf,RF,Random Forest Classifier,Brier,ppi,PPI,0.95,0.95,0.009924793899594744,0.0028239217668036124,0.0028467103211116196,0.1181623288271458,0.001109812792195517,0.9413081689188273,0.0035053325633985204,0.9414935817394813,0.9390714583212455,0.9436063464795535,,20,0.0,0,0.010543693263622677,0.9413014634859277
a_mean,smooth_proportion,smooth_proportion,rf,RF,Random Forest Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.95,0.95,0.009911382737631874,0.0028276805552752003,0.002851840027058649,0.1181623288271458,0.001109812792195517,0.9400374503207459,0.0029328247577120018,0.9407366272837681,0.9381456385832176,0.9419990179602361,0.933456040949487,20,0.0,0,0.010543693263622677,0.9400295029283173
a_mean,smooth_proportion,smooth_proportion,rf,RF,Random Forest Classifier,Brier,ppi_plus_plus_v2,PPI++V2,0.95,0.95,0.00991168197529512,0.00282813461564491,0.002852337963282817,0.1181623288271458,0.001109812792195517,0.9400658383114647,0.002932422756573183,0.940757048959775,0.9381570986820273,0.942023469528132,0.925,20,0.0,0,0.010543693263622677,0.9400578836537201
