experiment,target,parameter,learner,learner_label,learner_model,quality_metric,method,method_label,confidence_level,coverage,avg_width,sd_ci_low,sd_ci_high,quality_value_mean,quality_value_sd,relative_width_rep_mean,relative_width_rep_sd,relative_width_rep_median,relative_width_rep_q25,relative_width_rep_q75,median_lambda,n_success,coverage_error,n_failed,classic_avg_width,relative_width
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,cross_ppi,Cross-PPI,0.9,0.8,0.007522377960921861,0.002836940687829808,0.0028613502927000247,0.12401567489026019,0.0028795618289388773,0.8501340124953594,0.0031548233259335633,0.8500246860044156,0.8482175136932276,0.8508887033469378,,20,-0.09999999999999998,0,0.00884854632173428,0.8501258497618968
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.9,0.00896346619536601,0.002834615802797978,0.0028637015065874874,0.12401567489026019,0.0028795618289388773,0.8501340124953588,0.0031548233259336787,0.8500246860044157,0.8482175136932286,0.8508887033469397,,20,-0.04999999999999993,0,0.010543693263622677,0.8501258497618962
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,cross_ppi,Cross-PPI,0.975,0.95,0.010250564672392598,0.00283254132254606,0.0028658033940768247,0.12401567489026019,0.0028795618289388773,0.8501340124953595,0.00315482332593347,0.8500246860044175,0.8482175136932315,0.8508887033469396,,20,-0.025000000000000022,0,0.012057702603989248,0.8501258497618971
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,naive_ml,Naive ML,0.9,0.1,0.0017805253415790173,0.004941952445313529,0.005003240886725821,0.12401567489026019,0.0028795618289388773,0.20121325355265646,0.010019315760565483,0.20258690161281628,0.1953931032575027,0.20519493270821476,,20,-0.8,0,0.00884854632173428,0.20122235640057556
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,naive_ml,Naive ML,0.95,0.15,0.0021216268036710257,0.004936129473001194,0.005009158460646435,0.12401567489026019,0.0028795618289388773,0.201213253552656,0.010019315760565351,0.202586901612816,0.19539310325750425,0.20519493270821346,,20,-0.7999999999999999,0,0.010543693263622677,0.20122235640057515
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,naive_ml,Naive ML,0.975,0.15,0.0024262793307520624,0.00493093586905503,0.005014450542074366,0.12401567489026019,0.0028795618289388773,0.20121325355265562,0.01001931576056661,0.20258690161281478,0.19539310325750317,0.20519493270821515,,20,-0.825,0,0.012057702603989248,0.20122235640057473
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi,PPI,0.9,0.9,0.00855271913436246,0.002766967518161892,0.0027547291263703704,0.12401567489026019,0.0028795618289388773,0.9665808817651907,0.011999828997987742,0.9645785517419599,0.9590083690411049,0.9702043179140492,,20,0.0,0,0.00884854632173428,0.9665677076645693
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi,PPI,0.95,0.95,0.010191193428138129,0.00276835159701135,0.0027537697753657235,0.12401567489026019,0.0028795618289388773,0.9665808817651902,0.01199982899798654,0.9645785517419536,0.959008369041106,0.9702043179140472,,20,0.0,0,0.010543693263622677,0.9665677076645689
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi,PPI,0.975,0.95,0.011654585965639005,0.0027696189025054377,0.002752944556086248,0.12401567489026019,0.0028795618289388773,0.9665808817651913,0.011999828997986656,0.9645785517419596,0.9590083690411064,0.970204317914049,,20,-0.025000000000000022,0,0.012057702603989248,0.9665677076645701
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.9,0.9,0.008470666785616046,0.0028062232541325397,0.0028111447148687473,0.12401567489026019,0.0028795618289388773,0.9573088818623692,0.007489650520236088,0.9571707721676499,0.9511024953662934,0.9609590816023019,0.829049469312025,20,0.0,0,0.00884854632173428,0.9572947326737652
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.95,0.95,0.01009342202419385,0.002805831429307413,0.0028116955454856227,0.12401567489026019,0.0028795618289388773,0.957308881862369,0.007489650520235548,0.9571707721676488,0.9511024953662914,0.9609590816022997,0.829049469312025,20,0.0,0,0.010543693263622677,0.9572947326737652
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.975,0.95,0.011542775190945659,0.002805493258577571,0.0028121992280997197,0.12401567489026019,0.0028795618289388773,0.9573088818623698,0.007489650520235428,0.9571707721676511,0.9511024953662942,0.9609590816023023,0.829049469312025,20,-0.025000000000000022,0,0.012057702603989248,0.957294732673766
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v2,PPI++V2,0.9,0.9,0.008470959970380327,0.0028047581596899124,0.0028096025082704934,0.12401567489026019,0.0028795618289388773,0.9573419985696837,0.007490294801432471,0.9572007013919321,0.9511320929839225,0.9609889849857135,0.825,20,0.0,0,0.00884854632173428,0.9573278663381684
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v2,PPI++V2,0.95,0.95,0.01009377137538801,0.0028043738426714146,0.002810146076310055,0.12401567489026019,0.0028795618289388773,0.9573419985696832,0.007490294801431087,0.957200701391929,0.9511320929839197,0.9609889849857087,0.825,20,0.0,0,0.010543693263622677,0.9573278663381678
a_mean,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v2,PPI++V2,0.975,0.95,0.011543174706817214,0.0028040423951039744,0.0028106432910119626,0.12401567489026019,0.0028795618289388773,0.9573419985696846,0.007490294801431383,0.957200701391931,0.9511320929839212,0.9609889849857117,0.825,20,-0.025000000000000022,0,0.012057702603989248,0.9573278663381692
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,cross_ppi,Cross-PPI,0.9,0.9,0.007376491233680732,0.0026641453747935076,0.0026863255674391137,0.11753305647968734,0.0011695562191112348,0.8336462712019989,0.0025570075952469394,0.8339325379297364,0.831572466123118,0.8354371329641467,,20,0.0,0,0.00884854632173428,0.833638765676368
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.95,0.008789631437956639,0.002662032677765742,0.002688461890725256,0.11753305647968734,0.0011695562191112348,0.8336462712019982,0.002557007595246543,0.8339325379297378,0.8315724661231152,0.8354371329641448,,20,0.0,0,0.010543693263622677,0.8336387656763674
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,cross_ppi,Cross-PPI,0.975,0.95,0.01005176831568232,0.0026601475081837194,0.0026903716542345762,0.11753305647968734,0.0011695562191112348,0.8336462712019983,0.0025570075952461467,0.8339325379297375,0.8315724661231159,0.8354371329641455,,20,-0.025000000000000022,0,0.012057702603989248,0.8336387656763676
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,naive_ml,Naive ML,0.9,0.25,0.0016896941205923443,0.004475084231974954,0.004509610747259465,0.11753305647968734,0.0011695562191112348,0.1909493097510575,0.005171358281930177,0.1911523802281712,0.18772036134943273,0.19461184757364464,,20,-0.65,0,0.00884854632173428,0.1909572554807139
a_mean,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,Brier,naive_ml,Naive ML,0.95,0.25,0.0020133947282518854,0.00447179153888266,0.00451293228727061,0.11753305647968734,0.0011695562191112348,0.19094930975105823,0.005171358281929883,0.19115238022817121,0.18772036134943315,0.19461184757364508,,20,-0.7,0,0.010543693263622677,0.19095725548071463
