experiment,replicate,target,parameter,learner,learner_label,learner_model,method,method_label,confidence_level,estimate,truth,ci_low,ci_high,ci_width,covered,quality_metric,quality_value,selected_lambda,lambda_source,backend,package_version,status,warning,tuned_params,validation_score,n_total,n_labelled,n_unlabelled,n_train,n_inference,relative_width_rep
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,cross_ppi,Cross-PPI,0.9,568.0139467327389,547.9069413412143,541.5391809977224,594.4887124677554,52.94953147003298,True,MSE,4673816038.135477,,,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.8545056941191459
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,cross_ppi,Cross-PPI,0.95,568.0139467327389,547.9069413412143,536.4673176044448,599.5605758610329,63.093258256588115,True,MSE,4673816038.135477,,,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.8545056941191462
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,cross_ppi,Cross-PPI,0.975,568.0139467327389,547.9069413412143,531.9374161777689,604.0904772877088,72.15306110993993,True,MSE,4673816038.135477,,,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.8545056941191468
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,cross_ppi,Cross-PPI,0.9,25667.875492820865,24977.364721462392,24402.76021204014,26932.990773601592,2530.230561561453,True,MSE,4673816038.135477,,,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.8550676178477904
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,cross_ppi,Cross-PPI,0.95,25667.875492820865,24977.364721462392,24160.397656499896,27175.353329141835,3014.9556726419396,True,MSE,4673816038.135477,,,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.8550676178477911
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,cross_ppi,Cross-PPI,0.975,25667.875492820865,24977.364721462392,23943.93313429495,27391.81785134678,3447.8847170518275,True,MSE,4673816038.135477,,,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.8550676178477921
b_lr,0,income_on_age_sex,intercept,dt,DT,Decision Tree Regressor,cross_ppi,Cross-PPI,0.9,11733.230149380257,13291.613243404692,10437.684206663187,13028.776092097327,2591.09188543414,False,MSE,4673816038.135477,,,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.8317037594903169
b_lr,0,income_on_age_sex,intercept,dt,DT,Decision Tree Regressor,cross_ppi,Cross-PPI,0.95,11733.230149380257,13291.613243404692,10189.491942869701,13276.968355890813,3087.4764130211115,False,MSE,4673816038.135477,,,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.8317037594903172
b_lr,0,income_on_age_sex,intercept,dt,DT,Decision Tree Regressor,cross_ppi,Cross-PPI,0.975,11733.230149380257,13291.613243404692,9967.820655086554,13498.63964367396,3530.8189885874053,True,MSE,4673816038.135477,,,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.8317037594903169
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,naive_ml,Naive ML,0.9,542.3277614718834,547.9069413412143,535.5322235278196,549.1232994159471,13.591075888127534,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.21933436261250402
