experiment,target,parameter,learner,learner_label,learner_model,quality_metric,method,method_label,confidence_level,coverage,avg_width,sd_ci_low,sd_ci_high,quality_value_mean,quality_value_sd,relative_width_rep_mean,relative_width_rep_sd,relative_width_rep_median,relative_width_rep_q25,relative_width_rep_q75,median_lambda,n_success,coverage_error,n_failed,classic_avg_width,relative_width
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,cross_ppi,Cross-PPI,0.95,0.95,62.18224146810515,17.66228950154443,18.73466293538938,4424752303.865795,188846934.11819887,0.8470722732472267,0.009598464089442954,0.8470351382774794,0.8415472596327028,0.8539059636742141,,20,0.0,0,73.40175429151647,0.8471492550593163
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,naive_ml,Naive ML,0.95,0.05,14.786237952194245,52.0465040684321,52.46370763933429,4424752303.865795,188846934.11819887,0.20145595903884325,0.010654963974727327,0.2012962869682508,0.19176784418179424,0.2069928496682109,,20,-0.8999999999999999,0,73.40175429151647,0.20144256898098672
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,ppi,PPI,0.95,1.0,70.85581813389723,18.63540303046049,19.892987332648705,4424752303.865795,188846934.11819887,0.965283254118454,0.02199492277697532,0.965186414105266,0.9558157613970368,0.9783906358087283,,20,0.050000000000000044,0,73.40175429151647,0.9653150502710329
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,ppi_plus_plus_v1,PPI++V1,0.95,1.0,70.07692840596229,17.676522034264,18.657371140304086,4424752303.865795,188846934.11819887,0.9546923709889625,0.02026266529487119,0.9562470310499078,0.9427722899072708,0.9695933450797886,,20,0.050000000000000044,0,73.40175429151647,0.9547037272113474
b_lr,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,MSE,ppi_plus_plus_v2,PPI++V2,0.95,1.0,70.09316553782129,17.810749206612485,18.810830748951126,4424752303.865795,188846934.11819887,0.954914677610736,0.01994505640916037,0.956701882829335,0.9450806371092559,0.9689111386485361,0.8,20,0.050000000000000044,0,73.40175429151647,0.9549249362548604
b_lr,income_on_age_sex,AGEP,gb,GB,Histogram Gradient Boosting Regressor,MSE,cross_ppi,Cross-PPI,0.95,1.0,61.05475211677617,16.121337746614365,17.324900249057414,4063611733.32775,135813129.1482445,0.8316603018781932,0.010818239373297851,0.8335625461091059,0.8260904602699378,0.8364427533105719,,20,0.050000000000000044,0,73.40175429151647,0.8317887318373354
b_lr,income_on_age_sex,AGEP,gb,GB,Histogram Gradient Boosting Regressor,MSE,naive_ml,Naive ML,0.95,0.2,14.87129974501855,23.621895807156665,23.727985994415796,4063611733.32775,135813129.1482445,0.20269262253191647,0.010497456450840407,0.2007451776122891,0.19588055467396415,0.21061145298653836,,20,-0.75,0,73.40175429151647,0.20260142129514916
b_lr,income_on_age_sex,AGEP,gb,GB,Histogram Gradient Boosting Regressor,MSE,ppi,PPI,0.95,1.0,68.62070364167339,18.518862836716945,19.687891452502537,4063611733.32775,135813129.1482445,0.9348154120361564,0.017078049444446273,0.9381219470504784,0.9189459913421115,0.9477665884244209,,20,0.050000000000000044,0,73.40175429151647,0.9348646269290098
b_lr,income_on_age_sex,AGEP,gb,GB,Histogram Gradient Boosting Regressor,MSE,ppi_plus_plus_v1,PPI++V1,0.95,1.0,68.23822838116908,18.0310705379124,19.19278475506007,4063611733.32775,135813129.1482445,0.9295982321752794,0.018503198887334746,0.9330970524479852,0.9149101932466805,0.9421267306402852,,20,0.050000000000000044,0,73.40175429151647,0.9296539168554426
b_lr,income_on_age_sex,AGEP,gb,GB,Histogram Gradient Boosting Regressor,MSE,ppi_plus_plus_v2,PPI++V2,0.95,1.0,68.24394114073615,18.15233823212075,19.329162198370934,4063611733.32775,135813129.1482445,0.9296768850700469,0.018445142652808486,0.933056763654847,0.9146493486330614,0.9426178718129472,0.875,20,0.050000000000000044,0,73.40175429151647,0.9297317455071175
