experiment,replicate,learner,method,diagnostic,lambda,value,fold_id,details
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.0,0.0968747292952571,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.025,0.0956131304634247,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.05,0.0944046030871955,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.075,0.09324898122140074,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.1,0.09214610089768815,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.125,0.09109580011373192,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.15,0.09009791882819264,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.175,0.08915229895180304,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.2,0.08825878434062938,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.225,0.08741722078809515,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.25,0.08662745601793978,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.275,0.085889339677378,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.3,0.08520272333012871,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.325,0.08456746044876409,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.35,0.08398340640901904,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.375,0.0834504184836724,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.4,0.08296835583378481,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.425,0.08253707950433058,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.45,0.08215645241835792,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.475,0.08182633936881249,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.5,0.08154660701416214,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.525,0.08131712387225222,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.55,0.0811377603140503,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.575,0.08100838855903032,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.6,0.08092888266749063,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.625,0.0808991185384529,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.65,0.08091897390218825,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.675,0.08098832831509427,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.7,0.08110706315491648,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.725,0.08127506161739385,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.75,0.0814922087080029,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.775,0.08175839124110165,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.8,0.0820734978335364,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.825,0.08243741889924319,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.85,0.08285004664726421,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.875,0.083311275074822,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.9,0.08382099996704746,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.925,0.0843791188884104,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.95,0.08498553118245636,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,0.975,0.08564013796634543,,
c_glm,0,lin,ppi_plus_plus_v2,lambda_grid,1.0,0.08634284212802885,,
c_glm,0,lin,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,5.329070518200751e-15,,
c_glm,0,lin,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,1.7763568394002505e-15,,
c_glm,0,lin,cross_ppi,fold_tuning,,0.10711543663376528,0.0,"{""model__C"": 1.0}"
c_glm,0,lin,cross_ppi,fold_tuning,,0.11243761563375063,1.0,"{""model__C"": 1.0}"
c_glm,0,lin,cross_ppi,fold_tuning,,0.10827409117677803,2.0,"{""model__C"": 0.1}"
c_glm,0,lin,cross_ppi,fold_tuning,,0.09671143869716096,3.0,"{""model__C"": 1.0}"
c_glm,0,lin,cross_ppi,fold_tuning,,0.0981543075425024,4.0,"{""model__C"": 0.1}"
c_glm,0,lin,cross_ppi,cross_oof_quality,,0.10422552934085522,,Brier
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.0,0.0968747292952571,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.025,0.09551321917894869,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.05,0.09422508479525882,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.075,0.09301010718873222,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.1,0.09186806898580928,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.125,0.09079875438466338,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.15,0.08980194915318872,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.175,0.08887744061986413,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.2,0.08802501766891951,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.225,0.08724447073483924,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.25,0.0865355917973997,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.275,0.08589817437222477,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.3,0.08533201351028165,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.325,0.08483690578883332,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.35,0.08441264930775853,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.375,0.08405904368077627,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.4,0.0837758900361713,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.425,0.08356299100548084,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.45,0.08342015072130475,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.475,0.08334717481092664,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.5,0.08334387039305297,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.525,0.0834100460706118,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.55,0.08354551192492644,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.575,0.08375007951543895,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.6,0.08402356186978174,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.625,0.08436577348229202,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.65,0.08477653030579528,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.675,0.08525564975114475,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.7,0.0858029506802384,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.725,0.08641825340044267,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.75,0.08710137966298742,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.775,0.08785215265607894,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.8,0.0886703970010122,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.825,0.08955593874872592,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.85,0.09050860537479713,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.875,0.09152822577613696,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.9,0.09261463026434849,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.925,0.09376765056578168,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.95,0.09498711981312025,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,0.975,0.0962728725451241,,
c_glm,0,dt,ppi_plus_plus_v2,lambda_grid,1.0,0.09762474469994419,,
c_glm,0,dt,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,5.329070518200751e-15,,
c_glm,0,dt,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,5.329070518200751e-15,,
c_glm,0,dt,cross_ppi,fold_tuning,,0.11053752784753396,0.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}"
c_glm,0,dt,cross_ppi,fold_tuning,,0.11447360455619315,1.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}"
c_glm,0,dt,cross_ppi,fold_tuning,,0.115872227085121,2.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}"
c_glm,0,dt,cross_ppi,fold_tuning,,0.09866035321100652,3.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
c_glm,0,dt,cross_ppi,fold_tuning,,0.09676514519872662,4.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}"
c_glm,0,dt,cross_ppi,cross_oof_quality,,0.10885632266096654,,Brier
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.0,0.0968747292952571,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.025,0.09579115612657539,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.05,0.09475130237112914,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.075,0.09375511996603582,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.1,0.09280256132797632,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.125,0.09189357935297325,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.15,0.09102812741572563,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.175,0.09020615937102998,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.2,0.08942762955240627,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.225,0.08869249277395932,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.25,0.08800070432931845,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.275,0.08735221999224109,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.3,0.08674699601683232,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.325,0.0861849891389846,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.35,0.0856661565739252,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.375,0.0851904560188971,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.4,0.08475784565194441,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.425,0.08436828413360269,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.45,0.08402173060606853,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.475,0.08371814469358511,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.5,0.08345748650350794,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.525,0.0832397166258317,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.55,0.08306479613417615,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.575,0.08293268658594827,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.6,0.08284335002216128,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.625,0.0827967489679815,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.65,0.08279284643516788,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.675,0.08283160591883647,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.7,0.08291299140060845,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.725,0.08303696734894997,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.75,0.08320349871760668,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.775,0.08341255094838045,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.8,0.0836640899703902,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.825,0.08395808220025372,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.85,0.08429449454409382,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.875,0.08467329439660172,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.9,0.08509444964264412,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.925,0.08555792865644316,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.95,0.08606370030351977,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,0.975,0.08661173394011037,,
c_glm,0,rf,ppi_plus_plus_v2,lambda_grid,1.0,0.08720199941581776,,
c_glm,0,rf,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,5.329070518200751e-15,,
c_glm,0,rf,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,1.7763568394002505e-15,,
c_glm,0,rf,cross_ppi,fold_tuning,,0.10843108352483084,0.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
c_glm,0,rf,cross_ppi,fold_tuning,,0.1115748926511188,1.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
c_glm,0,rf,cross_ppi,fold_tuning,,0.1101583629707812,2.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
c_glm,0,rf,cross_ppi,fold_tuning,,0.09562043643134101,3.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
c_glm,0,rf,cross_ppi,fold_tuning,,0.09708928325710654,4.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
c_glm,0,rf,cross_ppi,cross_oof_quality,,0.10502859110624396,,Brier
c_glm,0,gb,ppi_plus_plus_v2,lambda_grid,0.0,0.0968747292952571,,
c_glm,0,gb,ppi_plus_plus_v2,lambda_grid,0.025,0.09545900863758783,,
c_glm,0,gb,ppi_plus_plus_v2,lambda_grid,0.05,0.094096633427081,,
c_glm,0,gb,ppi_plus_plus_v2,lambda_grid,0.075,0.09278735530911196,,
