experiment,learner,learner_label,parameter,lambda_median,lambda_q25,lambda_q75,lambda_equal_1_rate,lambda_below_1_rate,v2_to_ppi_width_ratio_median,v2_to_ppi_width_ratio_q25,v2_to_ppi_width_ratio_q75,ppi_coverage_95,v2_coverage_95,coverage_difference,ppi_avg_width_95,v2_avg_width_95
c_glm,dt,DT,age,0.55,0.475,0.63125,0.0,1.0,0.9677944249048314,0.9558238127852421,0.9814090452670186,0.85,0.9,0.050000000000000044,0.011100666775165184,0.010766912933007543
c_glm,dt,DT,education-num,0.55,0.475,0.63125,0.0,1.0,0.9460411345252395,0.93181914142844,0.9588063427280072,0.95,0.95,0.0,0.07414129935901848,0.07009075249838156
c_glm,dt,DT,hours-per-week,0.55,0.475,0.63125,0.0,1.0,0.9630562321883338,0.9196371555293652,0.9803403523433728,0.95,0.95,0.0,0.014039409597650442,0.013370722109543414
c_glm,gb,GB,age,0.7625,0.7,0.8,0.0,1.0,0.9859647816119013,0.9759187091580563,0.9938368818449703,0.95,0.95,0.0,0.010313612008449064,0.01015375579409895
c_glm,gb,GB,education-num,0.7625,0.7,0.8,0.0,1.0,0.9859172965808203,0.9788040688181352,0.9926372626581279,0.95,0.95,0.0,0.06807237303367474,0.06695979457955939
c_glm,gb,GB,hours-per-week,0.7625,0.7,0.8,0.0,1.0,0.9812529695022991,0.9645673966807554,0.9974031714339475,0.95,0.95,0.0,0.01305930270493622,0.012753407211967419
c_glm,lin,LIN,age,0.8625,0.74375,1.0,0.35,0.65,0.9999999999996155,0.9863873989180594,1.0000000000002436,0.95,0.95,0.0,0.010600463471917907,0.010545845164445792
c_glm,lin,LIN,education-num,0.8625,0.74375,1.0,0.35,0.65,0.9999999999994498,0.9951919330055595,1.0000000000003944,0.95,0.95,0.0,0.06782970681625221,0.06741710390043998
c_glm,lin,LIN,hours-per-week,0.8625,0.74375,1.0,0.35,0.65,0.9983973391897341,0.9809232494717118,1.0000000000000502,0.95,0.95,0.0,0.013436823222702704,0.01328625142512373
c_glm,rf,RF,age,0.7375,0.64375,0.775,0.05,0.95,0.9996563683795707,0.9943135991694138,1.0036890976148625,1.0,1.0,0.0,0.010729012870493168,0.01070581283056699
c_glm,rf,RF,education-num,0.7375,0.64375,0.775,0.05,0.95,0.9882777912483784,0.9839225708248986,0.9948672781296549,0.95,0.95,0.0,0.07061141193197154,0.06983588842253942
c_glm,rf,RF,hours-per-week,0.7375,0.64375,0.775,0.05,0.95,0.9953722175730598,0.9674599254050196,1.001291080451187,0.95,0.95,0.0,0.013522781376574606,0.01331082932728018
