scenario,target,profile,method,confidence_level,center_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,center_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,center_coverage_error,q25_coverage_error,q75_coverage_error,n_seeds,n_replicates
logistic_glm,beta_0,P1,naive_ml,0.9,0.8995,0.891125,0.901,0.007188722587163392,0.007173346745638645,0.007197669239195479,-0.000500000000000056,-0.008875000000000022,0.0010000000000000009,30,2000
logistic_glm,beta_0,P1,naive_ml,0.95,0.9484999999999999,0.943125,0.952,0.007188722587163372,0.00717334674563866,0.007197669239195476,-0.0015000000000000013,-0.006874999999999992,0.0020000000000000018,30,2000
logistic_glm,beta_0,P1,naive_ml,0.975,0.974,0.9706250000000001,0.975875,0.0071887225871633785,0.007173346745638648,0.007197669239195464,-0.0010000000000000009,-0.004374999999999962,0.0008750000000000147,30,2000
logistic_glm,beta_0,P1,ppi,0.9,0.9205,0.91725,0.926375,1.0107753638770796,1.0091284835341576,1.0129113928349427,0.020499999999999963,0.017250000000000015,0.026374999999999982,30,2000
logistic_glm,beta_0,P1,ppi,0.95,0.96975,0.967,0.9728749999999999,1.0107753638770798,1.0091284835341592,1.0129113928349405,0.019750000000000045,0.017000000000000015,0.022875000000000034,30,2000
logistic_glm,beta_0,P1,ppi,0.975,0.9902500000000001,0.989625,0.992375,1.0107753638770796,1.009128483534155,1.012911392834942,0.015250000000000041,0.014625000000000055,0.017375000000000057,30,2000
logistic_glm,beta_0,P1,ppi_plus_plus,0.9,0.90875,0.904,0.9115,0.9682652654496664,0.9668738747852119,0.9697621935952259,0.00874999999999998,0.0040000000000000036,0.011499999999999955,30,2000
logistic_glm,beta_0,P1,ppi_plus_plus,0.95,0.95825,0.954125,0.962,0.9682652654496652,0.9668738747852119,0.9697621935952233,0.008250000000000035,0.0041250000000000175,0.01200000000000001,30,2000
logistic_glm,beta_0,P1,ppi_plus_plus,0.975,0.981,0.979625,0.982375,0.9682652654496655,0.9668738747852127,0.9697621935952231,0.006000000000000005,0.004625000000000046,0.007375000000000048,30,2000
logistic_glm,beta_0,P2,naive_ml,0.9,0.0,0.0,0.0,0.003699236407779283,0.0036924169285136154,0.0037062527886853776,-0.9,-0.9,-0.9,30,2000
logistic_glm,beta_0,P2,naive_ml,0.95,0.0,0.0,0.0,0.0036992364077792824,0.0036924169285136223,0.0037062527886853745,-0.95,-0.95,-0.95,30,2000
logistic_glm,beta_0,P2,naive_ml,0.975,0.0,0.0,0.0,0.0036992364077792746,0.003692416928513611,0.0037062527886853854,-0.975,-0.975,-0.975,30,2000
logistic_glm,beta_0,P2,ppi,0.9,0.9199999999999999,0.916,0.92525,1.0131592642591005,1.0116219222871503,1.015298251339843,0.019999999999999962,0.016000000000000014,0.025249999999999967,30,2000
logistic_glm,beta_0,P2,ppi,0.95,0.9702500000000001,0.965875,0.972375,1.013159264259099,1.0116219222871499,1.0152982513398388,0.020250000000000046,0.015875000000000056,0.02237500000000006,30,2000
logistic_glm,beta_0,P2,ppi,0.975,0.99,0.9885,0.991,1.0131592642590992,1.0116219222871499,1.015298251339843,0.015000000000000013,0.013500000000000068,0.016000000000000014,30,2000
logistic_glm,beta_0,P2,ppi_plus_plus,0.9,0.9077500000000001,0.9021250000000001,0.9107500000000001,0.9727154805545737,0.9713852911555325,0.9740092857896216,0.007749999999999979,0.002124999999999988,0.01075000000000001,30,2000
logistic_glm,beta_0,P2,ppi_plus_plus,0.95,0.9575,0.953125,0.9605,0.9727154805545741,0.971385291155534,0.974009285789619,0.007500000000000007,0.0031250000000000167,0.010500000000000065,30,2000
logistic_glm,beta_0,P2,ppi_plus_plus,0.975,0.98,0.979125,0.981875,0.9727154805545735,0.9713852911555347,0.974009285789617,0.0050000000000000044,0.0041250000000000175,0.00687500000000002,30,2000
logistic_glm,beta_0,P3,naive_ml,0.9,0.0,0.0,0.0,0.002127690184945534,0.0021250722957134563,0.002132003862306032,-0.9,-0.9,-0.9,30,2000
logistic_glm,beta_0,P3,naive_ml,0.95,0.0,0.0,0.0,0.0021276901849455305,0.002125072295713454,0.0021320038623060334,-0.95,-0.95,-0.95,30,2000
logistic_glm,beta_0,P3,naive_ml,0.975,0.0,0.0,0.0,0.0021276901849455283,0.002125072295713459,0.0021320038623060308,-0.975,-0.975,-0.975,30,2000
logistic_glm,beta_0,P3,ppi,0.9,0.92125,0.91725,0.92625,1.0186522321235258,1.0167317215833753,1.0202419471430035,0.02124999999999999,0.017250000000000015,0.026249999999999968,30,2000
logistic_glm,beta_0,P3,ppi,0.95,0.9704999999999999,0.9685,0.973875,1.0186522321235256,1.0167317215833753,1.0202419471430013,0.020500000000000018,0.018500000000000072,0.023875000000000035,30,2000
logistic_glm,beta_0,P3,ppi,0.975,0.9905,0.9886250000000001,0.992,1.0186522321235265,1.0167317215833758,1.0202419471429978,0.01550000000000007,0.013625000000000054,0.017000000000000015,30,2000
logistic_glm,beta_0,P3,ppi_plus_plus,0.9,0.907,0.9021250000000001,0.912,0.9695338956396086,0.9681063720841533,0.9708435047257148,0.006999999999999951,0.002124999999999988,0.01200000000000001,30,2000
