scenario,target,profile,method,method_label,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
logistic_glm,beta_0,P1,naive_ml,Naive ML,0.9,0.8995,0.8808499999999999,0.891125,0.901,0.907275,0.0071887225871633716,0.007146880440481248,0.007173346745638621,0.007197669239195452,0.007225875811251813,-0.000500000000000056,-0.019150000000000073,-0.008875000000000022,0.0010000000000000009,0.007275000000000005,30,2000
logistic_glm,beta_0,P1,naive_ml,Naive ML,0.95,0.9484999999999999,0.937725,0.943125,0.952,0.9571,0.007188722587163325,0.007146880440481252,0.007173346745638639,0.007197669239195459,0.007225875811251764,-0.0015000000000000013,-0.01227499999999998,-0.006874999999999992,0.0020000000000000018,0.0071,30,2000
logistic_glm,beta_0,P1,naive_ml,Naive ML,0.975,0.974,0.9650875,0.9706250000000001,0.975875,0.979275,0.007188722587163337,0.007146880440481243,0.0071733467456386295,0.007197669239195422,0.007225875811251772,-0.0010000000000000009,-0.009912499999999968,-0.004374999999999962,0.0008750000000000147,0.004275000000000003,30,2000
logistic_glm,beta_0,P1,ppi,PPI,0.9,0.9205,0.9113625,0.91725,0.926375,0.9311,1.0107753638770796,1.004932479192279,1.0091284835341576,1.0129113928349427,1.0179442316912142,0.020499999999999963,0.01136249999999997,0.017250000000000015,0.026374999999999982,0.031100000000000023,30,2000
logistic_glm,beta_0,P1,ppi,PPI,0.95,0.96975,0.9633625,0.967,0.9728749999999999,0.9764125,1.0107753638770798,1.0049324791922796,1.0091284835341592,1.0129113928349405,1.0179442316912166,0.019750000000000045,0.013362500000000051,0.017000000000000015,0.022875000000000034,0.026412500000000037,30,2000
logistic_glm,beta_0,P1,ppi,PPI,0.975,0.9902500000000001,0.986175,0.989625,0.992375,0.994,1.0107753638770793,1.004932479192281,1.009128483534155,1.012911392834942,1.0179442316912146,0.015250000000000041,0.01117500000000001,0.014625000000000055,0.017375000000000057,0.019000000000000017,30,2000
logistic_glm,beta_0,P1,ppi_plus_plus_v1,PPI++V1,0.9,0.8995,0.8877625,0.8955,0.9055,0.9129625,0.9919362597859861,0.9890525777356892,0.9911163307336024,0.9936882559048166,0.9957957710579897,-0.0005000000000000004,-0.012237500000000026,-0.0045000000000000595,0.005499999999999949,0.012962499999999991,30,2000
logistic_glm,beta_0,P1,ppi_plus_plus_v1,PPI++V1,0.95,0.9525,0.9438624999999999,0.947,0.9548749999999999,0.9601375,0.9919362597859831,0.9890525777356914,0.991116330733601,0.9936882559048156,0.9957957710579908,0.0025000000000000577,-0.00613749999999999,-0.0030000000000000027,0.004875000000000018,0.010137500000000023,30,2000
logistic_glm,beta_0,P1,ppi_plus_plus_v1,PPI++V1,0.975,0.977,0.9715,0.9745,0.9788749999999999,0.984,0.9919362597859824,0.989052577735691,0.9911163307336031,0.9936882559048167,0.9957957710579891,0.0020000000000000018,-0.0034999999999999476,-0.0004999999999999449,0.0038750000000000173,0.009000000000000008,30,2000
logistic_glm,beta_0,P1,ppi_plus_plus_v2,PPI++V2,0.9,0.90875,0.8975875,0.904,0.9115,0.919,0.9682652654496664,0.9650778702099656,0.9668738747852119,0.9697621935952259,0.9711765963169748,0.00874999999999998,-0.002412500000000017,0.0040000000000000036,0.011499999999999955,0.019000000000000017,30,2000
logistic_glm,beta_0,P1,ppi_plus_plus_v2,PPI++V2,0.95,0.95825,0.9515874999999999,0.954125,0.962,0.9666375,0.9682652654496652,0.9650778702099657,0.966873874785212,0.9697621935952234,0.9711765963169767,0.008250000000000035,0.0015875000000000168,0.0041250000000000175,0.01200000000000001,0.016637500000000055,30,2000
