scenario,target,profile,scenario_signature,method,confidence_level,seed0_average_ci_width,seed0_empirical_coverage,average_ci_width_median_seed1_29,average_ci_width_q25_seed1_29,average_ci_width_q75_seed1_29,average_ci_width_min_seed1_29,average_ci_width_max_seed1_29,empirical_coverage_median_seed1_29,empirical_coverage_q25_seed1_29,empirical_coverage_q75_seed1_29,empirical_coverage_min_seed1_29,empirical_coverage_max_seed1_29
logistic_glm,beta_0,P1,logistic_glm:P1,naive_ml,0.9,0.0038028209671838752,0.9005,0.0038045777045383447,0.0038019684654675683,0.0038070444945205034,0.0037928055912233565,0.0038120616075728335,0.899,0.8925,0.9055,0.8805,0.9115
logistic_glm,beta_0,P1,logistic_glm:P1,naive_ml,0.95,0.004531340669593858,0.954,0.004533433951262588,0.004530324851144509,0.0045363733128223295,0.004519406613059827,0.004542351571755408,0.95,0.945,0.953,0.9375,0.956
logistic_glm,beta_0,P1,logistic_glm:P1,naive_ml,0.975,0.005182013249553846,0.9815,0.005184407113563052,0.005180851565838689,0.005187768549318702,0.00516836553608678,0.005194605249372694,0.974,0.972,0.9755,0.964,0.98
logistic_glm,beta_0,P1,logistic_glm:P1,ppi,0.9,1.3327127318448044,0.9265,1.3363938029940305,1.333147760232989,1.337681247370636,1.328492317339175,1.3426681360137644,0.9205,0.9165,0.925,0.9105,0.932
logistic_glm,beta_0,P1,logistic_glm:P1,ppi,0.95,1.5880251673183472,0.971,1.5924114341318794,1.5885435356151547,1.5939455187269482,1.582996233256786,1.5998877630551318,0.9695,0.968,0.9725,0.961,0.977
logistic_glm,beta_0,P1,logistic_glm:P1,ppi,0.975,1.816055789600608,0.99,1.8210718972828945,1.8166485923885838,1.8228262669666668,1.8103047316161542,1.8296217809405682,0.9905,0.9895,0.9925,0.9835,0.9945
logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v1,0.9,1.3096058285604522,0.9075,1.3114967100048178,1.3096175181942926,1.3140284146685532,1.3065026379057982,1.317369012841116,0.9,0.896,0.9065,0.884,0.9145
logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v1,0.95,1.5604915938200736,0.9555,1.5627447180307983,1.5605055228779117,1.5657614302045164,1.5567939140869707,1.5697419984433996,0.951,0.949,0.9555,0.945,0.963
logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v1,0.975,1.7845685647196765,0.976,1.787145223674325,1.784584493904337,1.790595117115181,1.7803399209767463,1.7951472704090217,0.9775,0.9745,0.98,0.9695,0.9835
logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v2,0.9,1.2763523233082672,0.908,1.2798634131155766,1.277564012107857,1.2809257069979827,1.275181883076759,1.2842283786892144,0.9085,0.9035,0.912,0.8965,0.919
logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v2,0.95,1.5208675983556244,0.9595,1.525051319907538,1.5223114146130456,1.5263171211413926,1.5194729327986236,1.5302524971903686,0.957,0.954,0.962,0.951,0.967
logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v2,0.975,1.7392548078276289,0.983,1.744039285997617,1.7409059471970563,1.7454868484837351,1.7376598768961375,1.749987320267865,0.9805,0.9795,0.9825,0.975,0.985
logistic_glm,beta_0,P2,logistic_glm:P2,naive_ml,0.9,0.004896705916911983,0.0,0.0048872240441679895,0.0048851780882102295,0.0048914349485611,0.004880379617869167,0.004900820284887849,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P2,logistic_glm:P2,naive_ml,0.95,0.005834784981943455,0.0,0.005823486633701559,0.005821048726810966,0.005828504235765114,0.005815330996737452,0.005839687553770937,0.0,0.0,0.0,0.0,0.0
