seed,scenario,target,profile,scenario_signature,method,confidence_level,n_labeled,n_unlabeled,n_replicates,n_successful_replicates,n_failed_replicates,average_ci_width,empirical_coverage
0,logistic_glm,beta_0,P1,logistic_glm:P1,naive_ml,0.9,60,600,2000,2000,0,0.0038028209671838752,0.9005
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi,0.9,60,600,2000,2000,0,1.3327127318448044,0.9265
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,1.3096058285604522,0.9075
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,1.2763523233082672,0.908
0,logistic_glm,beta_0,P2,logistic_glm:P2,naive_ml,0.9,60,600,2000,2000,0,0.004896705916911983,0.0
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi,0.9,60,600,2000,2000,0,1.3357774089416246,0.924
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,1.307908999956933,0.9045
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,1.2826390641015235,0.909
0,logistic_glm,beta_0,P3,logistic_glm:P3,naive_ml,0.9,60,600,2000,2000,0,0.002815867349970357,0.0
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi,0.9,60,600,2000,2000,0,1.3432655114462768,0.923
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,1.3093596189233374,0.906
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,1.2780404996078432,0.9065
0,logistic_glm,beta_0,P4,logistic_glm:P4,naive_ml,0.9,60,600,2000,2000,0,0.03770862417900044,0.8925
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi,0.9,60,600,2000,2000,0,1.3417229391491459,0.926
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,1.3103581129887265,0.906
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,1.2788661643141597,0.9085
0,logistic_glm,beta_0,baseline,logistic_glm:baseline,classic,0.9,60,600,2000,2000,0,1.3182137251536048,0.9055
0,logistic_glm,beta_0,P1,logistic_glm:P1,naive_ml,0.95,60,600,2000,2000,0,0.004531340669593858,0.954
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi,0.95,60,600,2000,2000,0,1.5880251673183472,0.971
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,1.5604915938200736,0.9555
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,1.5208675983556244,0.9595
0,logistic_glm,beta_0,P2,logistic_glm:P2,naive_ml,0.95,60,600,2000,2000,0,0.005834784981943455,0.0
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi,0.95,60,600,2000,2000,0,1.5916769553167371,0.9715
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,1.5584696978310628,0.9545
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,1.528358712052929,0.9595
0,logistic_glm,beta_0,P3,logistic_glm:P3,naive_ml,0.95,60,600,2000,2000,0,0.0033553128988218347,0.0
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi,0.95,60,600,2000,2000,0,1.6005995797868904,0.976
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,1.560198216942341,0.955
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,1.5228791844885845,0.9605
0,logistic_glm,beta_0,P4,logistic_glm:P4,naive_ml,0.95,60,600,2000,2000,0,0.04493259709338113,0.9495
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi,0.95,60,600,2000,2000,0,1.5987614915239718,0.97
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,1.5613879960052783,0.9565
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,1.5238630246681402,0.9595
0,logistic_glm,beta_0,baseline,logistic_glm:baseline,classic,0.95,60,600,2000,2000,0,1.570748535245604,0.9575
0,logistic_glm,beta_0,P1,logistic_glm:P1,naive_ml,0.975,60,600,2000,2000,0,0.005182013249553846,0.9815
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi,0.975,60,600,2000,2000,0,1.816055789600608,0.99
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,1.7845685647196765,0.976
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,1.7392548078276289,0.983
0,logistic_glm,beta_0,P2,logistic_glm:P2,naive_ml,0.975,60,600,2000,2000,0,0.0066726241281344235,0.0
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi,0.975,60,600,2000,2000,0,1.8202319518386865,0.9905
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,1.7822563369336328,0.9765
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,1.7478215992617476,0.9825
0,logistic_glm,beta_0,P3,logistic_glm:P3,naive_ml,0.975,60,600,2000,2000,0,0.003837115142272464,0.0
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi,0.975,60,600,2000,2000,0,1.8304358101659597,0.9905
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,1.78423306073126,0.976
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,1.7415552453258651,0.9825
0,logistic_glm,beta_0,P4,logistic_glm:P4,naive_ml,0.975,60,600,2000,2000,0,0.05138464098212127,0.9765
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi,0.975,60,600,2000,2000,0,1.828333783762113,0.991
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,1.7855936847314744,0.9765
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,1.7426803588888562,0.9815
0,logistic_glm,beta_0,baseline,logistic_glm:baseline,classic,0.975,60,600,2000,2000,0,1.7962983396897352,0.98
0,logistic_glm,beta_1,P1,logistic_glm:P1,naive_ml,0.9,60,600,2000,2000,0,0.004662401017697733,0.889
0,logistic_glm,beta_1,P1,logistic_glm:P1,ppi,0.9,60,600,2000,2000,0,1.7184808919490757,0.9145
0,logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,1.66992633442638,0.8965
0,logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,1.6190323165601614,0.9015
0,logistic_glm,beta_1,P2,logistic_glm:P2,naive_ml,0.9,60,600,2000,2000,0,0.0077187005545960264,0.015
0,logistic_glm,beta_1,P2,logistic_glm:P2,ppi,0.9,60,600,2000,2000,0,1.7368836772025995,0.916
0,logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,1.6690687305952236,0.8955
0,logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,1.6222029076300057,0.9025
0,logistic_glm,beta_1,P3,logistic_glm:P3,naive_ml,0.9,60,600,2000,2000,0,0.004479032953348678,0.0
0,logistic_glm,beta_1,P3,logistic_glm:P3,ppi,0.9,60,600,2000,2000,0,1.74247445166539,0.9185
0,logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,1.667445703721224,0.8945
0,logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,1.622398684173505,0.9025
0,logistic_glm,beta_1,P4,logistic_glm:P4,naive_ml,0.9,60,600,2000,2000,0,0.04627071692525646,0.825
0,logistic_glm,beta_1,P4,logistic_glm:P4,ppi,0.9,60,600,2000,2000,0,1.7295956764383535,0.921
0,logistic_glm,beta_1,P4,logistic_glm:P4,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,1.6683042842112843,0.9
0,logistic_glm,beta_1,P4,logistic_glm:P4,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,1.6202196118148682,0.9055
0,logistic_glm,beta_1,baseline,logistic_glm:baseline,classic,0.9,60,600,2000,2000,0,1.6825471418123963,0.8985
0,logistic_glm,beta_1,P1,logistic_glm:P1,naive_ml,0.95,60,600,2000,2000,0,0.005555593474360883,0.943
0,logistic_glm,beta_1,P1,logistic_glm:P1,ppi,0.95,60,600,2000,2000,0,2.047696281998607,0.9695
0,logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,1.9898399582075745,0.9505
0,logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,1.9291959954792945,0.958
0,logistic_glm,beta_1,P2,logistic_glm:P2,naive_ml,0.95,60,600,2000,2000,0,0.009197398994399296,0.033
0,logistic_glm,beta_1,P2,logistic_glm:P2,ppi,0.95,60,600,2000,2000,0,2.0696245531354047,0.97
0,logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,1.9888180602134085,0.949
0,logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,1.9329739877606533,0.9585
0,logistic_glm,beta_1,P3,logistic_glm:P3,naive_ml,0.95,60,600,2000,2000,0,0.00533709694910773,0.0
0,logistic_glm,beta_1,P3,logistic_glm:P3,ppi,0.95,60,600,2000,2000,0,2.0762863718001197,0.9725
0,logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,1.986884104409165,0.9485
0,logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,1.9332072699007703,0.9575
0,logistic_glm,beta_1,P4,logistic_glm:P4,naive_ml,0.95,60,600,2000,2000,0,0.055134959869001056,0.901
0,logistic_glm,beta_1,P4,logistic_glm:P4,ppi,0.95,60,600,2000,2000,0,2.060940364595356,0.972
0,logistic_glm,beta_1,P4,logistic_glm:P4,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,1.9879071661641894,0.9505
0,logistic_glm,beta_1,P4,logistic_glm:P4,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,1.9306107450351828,0.9585
0,logistic_glm,beta_1,baseline,logistic_glm:baseline,classic,0.95,60,600,2000,2000,0,2.004878577770489,0.9535
0,logistic_glm,beta_1,P1,logistic_glm:P1,naive_ml,0.975,60,600,2000,2000,0,0.006353342441554571,0.971
